title,author,first_pub_year,pages,edition_count,language,query_subject,source
The Iron Heel,Jack London,1907,287,597,eng,fiction,openlibrary_api
Brood of the Witch-Queen,Sax Rohmer,1924,206,194,eng,fiction,openlibrary_api
The Narrative of Arthur Gordon Pym,Edgar Allan Poe,1838,203,392,heb,fiction,openlibrary_api
The Napoleon of Notting Hill,Gilbert Keith Chesterton,1904,160,454,ita,fiction,openlibrary_api
Emily of New Moon,Lucy Maud Montgomery,1923,339,445,nor,fiction,openlibrary_api
The Vampyre,John William Polidori,1819,55,149,ita,fiction,openlibrary_api
The Sea Fairies,L. Frank Baum,1911,130,528,eng,fiction,openlibrary_api
The Enchanted Castle,Edith Nesbit,1907,186,478,eng,fiction,openlibrary_api
Pollyanna,"Eleanor Hodgman Porter, Porter",1912,194,552,eng,fiction,openlibrary_api
Игрокъ,Фёдор Михайлович Достоевский,1866,166,412,ita,fiction,openlibrary_api
Anne of the Island,Lucy Maud Montgomery,1915,232,781,swe,fiction,openlibrary_api
Lilith,George MacDonald,1895,270,480,eng,fiction,openlibrary_api
Le roman du masque de fer,Alexandre Dumas,1600,485,279,spa,fiction,openlibrary_api
Anthem,Ayn Rand,1936,98,103,eng,fiction,openlibrary_api
Tarzan of the Apes,Edgar Rice Burroughs,1912,286,226,eng,fiction,openlibrary_api
The Road to Oz,L. Frank Baum,1909,139,533,spa,fiction,openlibrary_api
The Canterville Ghost,Oscar Wilde,1887,93,138,alb,fiction,openlibrary_api
The food of the gods and how it came to earth,H. G. Wells,1900,300,194,por,fiction,openlibrary_api
Martin Eden,Jack London,1908,411,168,fin,fiction,openlibrary_api
The Last Man,Mary Shelley,1826,411,430,eng,fiction,openlibrary_api
Anne of Windy Poplars,Lucy Maud Montgomery,1936,258,310,chi,fiction,openlibrary_api
The blue castle,Lucy Maud Montgomery,1926,257,294,fre,fiction,openlibrary_api
Phantastes,George MacDonald,1850,196,472,por,fiction,openlibrary_api
Just So Stories,Rudyard Kipling,1922,113,245,eng,fiction,openlibrary_api
A Modern Utopia,H. G. Wells,1900,320,102,dut,fiction,openlibrary_api
The Complete Life and Adventures of Santa Claus,L. Frank Baum,1902,98,560,eng,fiction,openlibrary_api
The King in Yellow,Robert W. Chambers,1895,228,479,ger,fiction,openlibrary_api
Jo's Boys,"Louisa May Alcott, Success Oceo",1886,328,597,und,fiction,openlibrary_api
Herland,"Charlotte Perkins Gilman, Alex Goody",1915,152,627,tur,fiction,openlibrary_api
Of Human Bondage,William Somerset Maugham,1915,589,407,jpn,fiction,openlibrary_api
The Power of Darkness,Edith Nesbit,2006,29,125,eng,fiction,openlibrary_api
Carmilla,Sheridan Le Fanu,1871,90,571,eng,fiction,openlibrary_api
Dorothy and the Wizard in Oz,L. Frank Baum,1908,134,622,pol,fiction,openlibrary_api
The Phoenix and the Carpet,Edith Nesbit,1903,174,438,ger,fiction,openlibrary_api
The Mystery of the Blue Train,Agatha Christie,1928,257,124,rus,fiction,openlibrary_api
Kim,Rudyard Kipling,1901,286,934,pol,fiction,openlibrary_api
Daddy-Long-Legs,Jean Webster,1912,196,299,per,fiction,openlibrary_api
The Man in the Brown Suit,Agatha Christie,1924,225,201,eng,fiction,openlibrary_api
"Under the Greenwood Tree or, The Mellstock quire",Thomas Hardy,1872,221,425,spa,fiction,openlibrary_api
A Little Princess,Frances Hodgson Burnett,1905,224,305,spa,fiction,openlibrary_api
A Princess of Mars,Edgar Rice Burroughs,1917,183,206,rus,fiction,openlibrary_api
On the Beach,Nevil Shute,1957,292,119,heb,fiction,openlibrary_api
Howards End,E. M. Forster,1910,342,498,chi,fiction,openlibrary_api
The Black Cat,Edgar Allan Poe,1914,32,122,chi,fiction,openlibrary_api
The Jewel of Seven Stars,Bram Stoker,1902,228,653,eng,fiction,openlibrary_api
Shirley,Charlotte Brontë,1800,600,536,und,fiction,openlibrary_api
Мастер и Маргарита,Михаил Афанасьевич Булгаков,1966,439,234,eng,fiction,openlibrary_api
An American Tragedy,Theodore Dreiser,1900,784,210,ukr,fiction,openlibrary_api
The Story of the Amulet,Edith Nesbit,1905,203,578,fre,fiction,openlibrary_api
Sult,Knut Hamsun,1890,196,154,nob,fiction,openlibrary_api
Jamaica Inn,Daphne du Maurier,1936,304,100,eng,fiction,openlibrary_api
The World Set Free,"H. G. Wells, Ellen Marriage",1914,240,236,eng,fiction,openlibrary_api
The Book of Dragons,Edith Nesbit,1973,112,706,eng,fiction,openlibrary_api
The Picture of Dorian Gray,Oscar Wilde,1890,246,3012,ita,fiction,openlibrary_api
The Beautiful and Damned,F. Scott Fitzgerald,1920,439,495,eng,fiction,openlibrary_api
She,H. Rider Haggard,1886,282,506,gle,fiction,openlibrary_api
Voyage au Centre de la Terre,Jules Verne,1867,244,205,fre,fiction,openlibrary_api
The First Men in the Moon,H. G. Wells,1900,238,114,eng,fiction,openlibrary_api
The Invisible Man,H. G. Wells,0,170,563,mon,fiction,openlibrary_api
"Momo oder Die seltsame Geschichte von den Zeit-Dieben und von dem Kind, das den Menschen die gestohlene Zeit zurückbrachte",Michael Ende,1973,269,108,ita,fiction,openlibrary_api
Mrs. Dalloway,Virginia Woolf,1925,224,476,hun,fiction,openlibrary_api
The Sun Also Rises,Ernest Hemingway,1926,247,162,por,fiction,openlibrary_api
Der Zauberberg,Thomas Mann,1924,729,188,spa,fiction,openlibrary_api
The Silmarillion,J.R.R. Tolkien,1977,428,149,ita,fiction,openlibrary_api
The Secret of Chimneys,Agatha Christie,1925,257,121,spa,fiction,openlibrary_api
Kidnapped,Robert Louis Stevenson,1886,260,352,per,fiction,openlibrary_api
Eva Luna,Isabel Allende,1987,304,107,spa,fiction,openlibrary_api
Demian,Hermann Hesse,1919,184,176,per,fiction,openlibrary_api
La Peste,Albert Camus,1942,278,280,swe,fiction,openlibrary_api
White Fang,Jack London,1905,237,387,und,fiction,openlibrary_api
The Old Curiosity Shop,Charles Dickens,1800,563,825,heb,fiction,openlibrary_api
The Silver Chair,C. S. Lewis,1953,217,141,pol,fiction,openlibrary_api
The Innocence of Father Brown (Father Brown Mystery),Gilbert Keith Chesterton,1583,208,851,eng,fiction,openlibrary_api
The Riddle of the Sands,Erskine Childers,1903,299,532,eng,fiction,openlibrary_api
Ordeal by Innocence,Agatha Christie,1958,249,104,heb,fiction,openlibrary_api
Le fantôme de l'opéra,Gaston Leroux,1911,276,131,tur,fiction,openlibrary_api
Ivanhoe,Sir Walter Scott,1800,488,480,spa,fiction,openlibrary_api
A Separate Peace,John Knowles,1959,196,103,eng,fiction,openlibrary_api
A Room with a View,E. M. Forster,1905,204,692,eng,fiction,openlibrary_api
It Can't Happen Here,Sinclair Lewis,1935,376,157,rus,fiction,openlibrary_api
A Modern Utopia,H. G. Wells,1900,320,102,und,science,openlibrary_api
On the Beach,Nevil Shute,1957,292,119,rus,science,openlibrary_api
The book of the damned,Charles Fort,1919,314,154,eng,science,openlibrary_api
Dell'Arte della Guerra,Niccolò Machiavelli,1540,218,140,por,science,openlibrary_api
2001,Arthur C. Clarke,1968,236,116,por,science,openlibrary_api
The Martian Chronicles,Ray Bradbury,1950,262,138,por,science,openlibrary_api
The Kybalion,Three Initiates,1912,107,122,eng,science,openlibrary_api
The food of the gods and how it came to earth,H. G. Wells,1900,300,194,eng,science,openlibrary_api
Principles of Political Economy,John Stuart Mill,1848,628,133,eng,science,openlibrary_api
Principles of Anatomy and Physiology,"Gerard J. Tortora, Bryan H. Derrickson",1975,1248,218,ind,science,openlibrary_api
De la terre à la lune,Jules Verne,1865,206,208,spa,science,openlibrary_api
Discours de la méthode,René Descartes,1644,182,163,ita,science,openlibrary_api
Πολιτικά (Politiká),Aristotle,1492,354,224,gre,science,openlibrary_api
The Invisible Man,H. G. Wells,0,170,563,mon,science,openlibrary_api
Dune,Frank Herbert,1965,592,120,gre,science,openlibrary_api
A Princess of Mars,Edgar Rice Burroughs,1917,183,206,rus,science,openlibrary_api
A Brief History of Time,Stephen Hawking,1988,242,119,ita,science,openlibrary_api
R.U.R. and The insect play,"Karel Čapek, Josef Čapek",1920,108,147,cze,science,openlibrary_api
Mutual Aid,Peter Kropotkin,1891,294,151,chi,science,openlibrary_api
The First Men in the Moon,H. G. Wells,1900,238,114,rus,science,openlibrary_api
La conquête du pain,Peter Kropotkin,1892,222,146,yid,science,openlibrary_api
Vom Kriege,Carl von Clausewitz,1835,461,194,und,science,openlibrary_api
The Hitch Hiker's Guide to the Galaxy,Douglas Adams,1979,216,122,cze,science,openlibrary_api
The Prince,Niccolò Machiavelli,1515,156,1407,tam,science,openlibrary_api
Brave New World,Aldous Huxley,1932,241,721,glg,science,openlibrary_api
Ender's Game,Orson Scott Card,1985,330,104,srp,science,openlibrary_api
Du contrat social,Jean-Jacques Rousseau,1762,249,216,eng,science,openlibrary_api
Мы,Евгений Иванович Замятин,1924,224,210,chi,science,openlibrary_api
Common Sense,"Thomas Paine, Thomas Paine",1776,61,171,chi,science,openlibrary_api
The Last Man,Mary Shelley,1826,411,430,ita,science,openlibrary_api
Flatland,Edwin Abbott Abbott,1884,110,585,chi,science,openlibrary_api
The Time Machine,H. G. Wells,1895,120,1146,ita,science,openlibrary_api
Chemistry,"Theodore L. Brown, H. Eugene Lemay",1977,1072,119,eng,science,openlibrary_api
Voyage au Centre de la Terre,Jules Verne,1867,244,205,mac,science,openlibrary_api
The World Set Free,"H. G. Wells, Ellen Marriage",1914,240,236,eng,science,openlibrary_api
Fahrenheit 451,Ray Bradbury,1953,190,261,chi,science,openlibrary_api
Rights of Man,Thomas Paine,1791,178,279,chi,science,openlibrary_api
The Art of War,"孙武, Stephen F. Kaufman",1900,90,1542,chi,science,openlibrary_api
Über die spezielle und die allgemeine Relativitätstheorie,Albert Einstein,1917,165,102,ita,science,openlibrary_api
The Island of Dr. Moreau,H. G. Wells,1896,168,295,chi,science,openlibrary_api
Moralia,Plutarch,1500,301,211,gre,science,openlibrary_api
On the origin of species by means of natural selection,Charles Darwin,1859,502,259,gre,science,openlibrary_api
Anthem,Ayn Rand,1936,98,103,eng,science,openlibrary_api
Vingt mille lieues sous les mers,Jules Verne,1870,324,383,hun,science,openlibrary_api
The War of the Worlds,H. G. Wells,0,206,457,ita,science,openlibrary_api
The Problems of Philosophy,Bertrand Russell,1900,114,288,spa,science,openlibrary_api
Animal Farm,George Orwell,1945,128,650,tam,science,openlibrary_api
Frankenstein or The Modern Prometheus,Mary Shelley,1818,240,2185,chi,science,openlibrary_api
The Jewel of Seven Stars,Bram Stoker,1902,228,653,ger,science,openlibrary_api
Phantastes,George MacDonald,1850,196,472,eng,science,openlibrary_api
A Doll's House,Henrik Ibsen,1889,112,255,eng,science,openlibrary_api
The Iron Heel,Jack London,1907,287,597,chi,science,openlibrary_api
When the Sleeper Awakes,H. G. Wells,1899,278,197,ita,science,openlibrary_api
La Poetica,Aristotle,1479,312,498,ita,science,openlibrary_api
πολιτεία,Πλάτων,1554,397,794,mac,science,openlibrary_api
The Napoleon of Notting Hill,Gilbert Keith Chesterton,1904,160,454,spa,science,openlibrary_api
The Complete Life and Adventures of Santa Claus,L. Frank Baum,1902,98,560,eng,science,openlibrary_api
Charlie and the Great Glass Elevator,Roald Dahl,1972,176,113,jpn,science,openlibrary_api
The Handmaid's Tale,Margaret Atwood,1985,350,164,dan,science,openlibrary_api
Mein Kampf,Adolf Hitler,1922,614,185,ita,science,openlibrary_api
Leviathan,Thomas Hobbes,1651,508,99,dut,science,openlibrary_api
The golden bough,"James George Frazer, Theodor Herzl Gaster",1890,658,371,ita,science,openlibrary_api
Dorothy and the Wizard in Oz,L. Frank Baum,1908,134,622,spa,science,openlibrary_api
Nineteen Eighty-Four,George Orwell,1949,318,534,gre,science,openlibrary_api
Slaughterhouse-Five,Kurt Vonnegut,1968,205,131,ita,science,openlibrary_api
Manifest der Kommunistischen Partei,"Karl Marx, Friedrich Engels",1848,89,459,gre,science,openlibrary_api
NASA/DoD aerospace knowledge diffusion research project,Thomas E. Pinelli,1990,26,101,eng,science,openlibrary_api
A Vindication of Rights of Woman,Mary Wollstonecraft,1792,256,309,eng,science,openlibrary_api
The Subtle Knife,Philip Pullman,1997,350,106,heb,science,openlibrary_api
It Can't Happen Here,Sinclair Lewis,1935,376,157,rus,science,openlibrary_api
The Last Battle,C. S. Lewis,1956,192,106,jpn,science,openlibrary_api
A Clockwork Orange,Anthony Burgess,1962,192,136,ita,science,openlibrary_api
The Silver Chair,C. S. Lewis,1953,217,141,pol,science,openlibrary_api
A Wrinkle in Time,Madeleine L'Engle,1962,211,105,spa,science,openlibrary_api
Genji monogatari,Murasaki Shikibu,1900,302,121,jpn,science,openlibrary_api
Essays,Francis Bacon,1618,282,188,jpn,science,openlibrary_api
History,Herodotus,1494,561,282,gre,science,openlibrary_api
Narrative of the life of Frederick Douglass,Frederick Douglass,1845,127,1032,eng,science,openlibrary_api
Бѣсы,Фёдор Михайлович Достоевский,1871,704,171,rum,science,openlibrary_api
On Liberty,John Stuart Mill,1859,176,465,jpn,science,openlibrary_api
The Story of Philosophy,Will Durant,1926,543,141,urd,history,openlibrary_api
A history of the English-speaking peoples,"Winston S. Churchill, Winston Churchhill",1950,345,211,eng,history,openlibrary_api
The Enduring Vision,Paul S. Boyer,1987,610,110,eng,history,openlibrary_api
La conquête du pain,Peter Kropotkin,1892,222,146,yid,history,openlibrary_api
A Study of History,"Arnold J. Toynbee, D.C Somervell",1900,576,119,und,history,openlibrary_api
History of the Decline and Fall of the Roman Empire Complete and Unabridged,Edward Gibbon,1776,636,222,grc,history,openlibrary_api
The Riddle of the Sands,Erskine Childers,1903,299,532,spa,history,openlibrary_api
A dictionary of the English language,Samuel Johnson,1747,418,104,eng,history,openlibrary_api
Twelve years a slave,Solomon Northup,1853,233,1029,fre,history,openlibrary_api
History,Herodotus,1494,561,282,gre,history,openlibrary_api
Naturalis historia,Pliny the Elder,1469,280,100,grc,history,openlibrary_api
An autobiography,Mohandas Karamchand Gandhi,1927,420,140,spa,history,openlibrary_api
The Second World War,Winston S. Churchill,1948,724,203,spa,history,openlibrary_api
A Room of One's Own,Virginia Woolf,1929,143,303,dut,history,openlibrary_api
Mémoires,Giacomo Casanova,1830,320,104,fre,history,openlibrary_api
The Art of War,"孙武, Stephen F. Kaufman",1900,90,1542,chi,history,openlibrary_api
Εὐθύφρων / Κρίτων / Φαίδων / Ἀπολογία Σωκράτους,Πλάτων,1871,200,126,gre,history,openlibrary_api
Down and Out in Paris and London,George Orwell,1933,224,119,chi,history,openlibrary_api
Homage to Catalonia,George Orwell,1938,246,168,ger,history,openlibrary_api
The Travels of Marco Polo,Marco Polo,1818,376,114,mon,history,openlibrary_api
Manifest der Kommunistischen Partei,"Karl Marx, Friedrich Engels",1848,89,459,gre,history,openlibrary_api
Anne of the Island,Lucy Maud Montgomery,1915,232,781,fin,history,openlibrary_api
Diary,Samuel Pepys,1825,244,166,und,history,openlibrary_api
A Vindication of Rights of Woman,Mary Wollstonecraft,1792,256,309,eng,history,openlibrary_api
Up from Slavery,Booker T. Washington,1900,192,430,urd,history,openlibrary_api
The Innocents Abroad,Mark Twain,1800,444,177,eng,history,openlibrary_api
The blue castle,Lucy Maud Montgomery,1926,257,294,chi,history,openlibrary_api
American notes,"Charles Dickens, Diana C. Archibald",1800,266,233,chi,history,openlibrary_api
Salomé,Oscar Wilde,1893,66,174,cze,history,openlibrary_api
De la démocratie en Amérique,"Alexis de Tocqueville, Gustave de Beaumont",1835,436,421,geo,history,openlibrary_api
The history of the great plague in London in the year 1665,Daniel Defoe,1722,253,318,und,history,openlibrary_api
Notre Dame de Paris,Victor Hugo,1831,436,265,ita,history,openlibrary_api
The Phoenix and the Carpet,Edith Nesbit,1903,174,438,eng,history,openlibrary_api
The Souls of Black Folk,W. E. B. Du Bois,1903,203,412,fre,history,openlibrary_api
Rights of Man,Thomas Paine,1791,178,279,chi,history,openlibrary_api
History of the Peloponnesian War,Thucydides,1526,460,172,ita,history,openlibrary_api
Orthodoxy,Gilbert Keith Chesterton,1874,156,551,spa,history,openlibrary_api
Philosophiae naturalis principia mathematica,Sir Isaac Newton,1687,510,104,lat,history,openlibrary_api
Jude the Obscure,Thomas Hardy,1895,451,425,chi,history,openlibrary_api
Good wives,Louisa May Alcott,1870,320,105,eng,history,openlibrary_api
Meghadūta,Kālidāsa,1813,116,114,ori,history,openlibrary_api
Essay concerning human understanding,John Locke,1689,450,188,fre,history,openlibrary_api
Mein Kampf,Adolf Hitler,1922,614,185,ita,history,openlibrary_api
The Scarlet Pimpernel,Emma Orczy,1900,303,591,spa,history,openlibrary_api
Mere Christianity,C. S. Lewis,1943,191,109,rum,history,openlibrary_api
Ἀπολογία Σωκράτους,Πλάτων,1675,110,232,twi,history,openlibrary_api
Anatomy,"Henry Gray F.R.S., Henry Vandyke Carter",1858,1257,109,eng,history,openlibrary_api
Sonnenfinsternis,Arthur Koestler,1940,254,119,gre,history,openlibrary_api
Narrative of the life of Frederick Douglass,Frederick Douglass,1845,127,1032,eng,history,openlibrary_api
Ivanhoe,Sir Walter Scott,1800,488,480,gle,history,openlibrary_api
Gone With the Wind,Margaret Mitchell,1936,947,244,chi,history,openlibrary_api
A Tale of Two Cities,Charles Dickens,1800,387,2059,fin,history,openlibrary_api
The Jewel of Seven Stars,Bram Stoker,1902,228,653,ger,history,openlibrary_api
The Book Thief,Markus Zusak,1998,559,108,rum,history,openlibrary_api
Poetics,Aristotle,1536,129,252,gre,history,openlibrary_api
The Sun Also Rises,Ernest Hemingway,1926,247,162,por,history,openlibrary_api
Мастер и Маргарита,Михаил Афанасьевич Булгаков,1966,439,234,pol,history,openlibrary_api
Antony and Cleopatra,William Shakespeare,1734,206,949,gre,history,openlibrary_api
Walden,Henry David Thoreau,1854,268,1139,jpn,history,openlibrary_api
La père Goriot,Honoré de Balzac,1800,304,439,und,history,openlibrary_api
Georg Baselitz,"Georg Baselitz, Rainer M. Mason",1970,87,113,ita,history,openlibrary_api
Jenseits von Gut und Böse,Friedrich Nietzsche,1885,178,415,ita,history,openlibrary_api
Mutual Aid,Peter Kropotkin,1891,294,151,chi,history,openlibrary_api
Anne's House of Dreams,Lucy Maud Montgomery,1917,256,822,ger,history,openlibrary_api
Anne of Green Gables,Lucy Maud Montgomery,1908,309,1299,pol,history,openlibrary_api
The Alhambra,Washington Irving,1800,297,459,dut,history,openlibrary_api
The Enchanted Castle,Edith Nesbit,1907,186,478,chi,history,openlibrary_api
Записки изъ подполья,Фёдор Михайлович Достоевский,1864,132,837,chi,history,openlibrary_api
Ab urbe condita,Titus Livius,1481,253,558,cze,history,openlibrary_api
All's Well That Ends Well,William Shakespeare,1734,160,711,ita,history,openlibrary_api
The Prince and the Pauper,Mark Twain,1881,256,755,ita,history,openlibrary_api
At Bertram's Hotel,Agatha Christie,1965,248,114,pol,history,openlibrary_api
The Daughter of Time,Josephine Tey,1951,207,129,und,history,openlibrary_api
Kidnapped,Robert Louis Stevenson,1886,260,352,gle,history,openlibrary_api
King Henry V,William Shakespeare,1600,166,631,hun,history,openlibrary_api
Les Trois Mousquetaires,"Alexandre Dumas, Auguste Maquet",1844,552,1104,gre,history,openlibrary_api
Les confessions,Jean-Jacques Rousseau,1782,606,244,spa,history,openlibrary_api
Common Sense,"Thomas Paine, Thomas Paine",1776,61,171,chi,history,openlibrary_api
The Merchant of Venice,William Shakespeare,1600,147,818,gre,history,openlibrary_api
The Constitution of the United States and related documents,United States,1787,51,146,dut,history,openlibrary_api
The Story of Philosophy,Will Durant,1926,543,141,urd,philosophy,openlibrary_api
The Problems of Philosophy,Bertrand Russell,1900,114,288,spa,philosophy,openlibrary_api
Jenseits von Gut und Böse,Friedrich Nietzsche,1885,178,415,ita,philosophy,openlibrary_api
The guide of the perplexed of Maimonides,Moses Maimonides,1473,414,116,ita,philosophy,openlibrary_api
Ἀπολογία Σωκράτους,Πλάτων,1675,110,232,twi,philosophy,openlibrary_api
Tractatus logico-philosophicus,"Ludwig Wittgenstein, Isidoro Reguera Pérez",1921,166,209,dut,philosophy,openlibrary_api
Discours de la méthode,René Descartes,1644,182,163,ita,philosophy,openlibrary_api
Tao te Ching,老子,1842,124,648,jpn,philosophy,openlibrary_api
The Kybalion,Three Initiates,1912,107,122,eng,philosophy,openlibrary_api
A Study of History,"Arnold J. Toynbee, D.C Somervell",1900,576,119,und,philosophy,openlibrary_api
Principles of Political Economy,John Stuart Mill,1848,628,133,eng,philosophy,openlibrary_api
Der Antichrist,Friedrich Nietzsche,1895,92,384,ita,philosophy,openlibrary_api
Lun yu,Confucius,1750,228,103,jpn,philosophy,openlibrary_api
Sein und Zeit,Martin Heidegger,1927,437,114,jpn,philosophy,openlibrary_api
Also sprach Zarathustra,Friedrich Nietzsche,1883,354,550,gre,philosophy,openlibrary_api
Συμπόσιον,Πλάτων,1559,128,351,gre,philosophy,openlibrary_api
De rerum natura,Titus Lucretius Carus,1486,289,537,gre,philosophy,openlibrary_api
Kritik der reinen Vernunft,Immanuel Kant,1781,613,153,rus,philosophy,openlibrary_api
A Modern Utopia,H. G. Wells,1900,320,102,und,philosophy,openlibrary_api
The Varieties of Religious Experience,"William James, Dr. William James",1817,472,266,eng,philosophy,openlibrary_api
Πολιτικά (Politiká),Aristotle,1492,354,224,gre,philosophy,openlibrary_api
La Poetica,Aristotle,1479,312,498,ita,philosophy,openlibrary_api
Essays,Francis Bacon,1618,282,188,jpn,philosophy,openlibrary_api
Du contrat social,Jean-Jacques Rousseau,1762,249,216,eng,philosophy,openlibrary_api
Meditations,Marcus Aurelius,1626,203,642,gre,philosophy,openlibrary_api
Moralia,Plutarch,1500,301,211,gre,philosophy,openlibrary_api
La Chute,Albert Camus,1917,147,145,dut,philosophy,openlibrary_api
Nicomachean Ethics,Aristotle,1558,329,416,gre,philosophy,openlibrary_api
The Art of Loving,Erich Fromm,1956,138,101,jpn,philosophy,openlibrary_api
Εὐθύφρων / Κρίτων / Φαίδων / Ἀπολογία Σωκράτους,Πλάτων,1871,200,126,gre,philosophy,openlibrary_api
Das Kapital,Karl Marx,1867,579,189,ita,philosophy,openlibrary_api
Pensées,"Blaise Pascal, Philippe Sellier",1670,352,395,chi,philosophy,openlibrary_api
The Book of Tea,"Okakura Kakuzō, Okakura Kakuzō",1900,70,476,jpn,philosophy,openlibrary_api
Summa Theologica,"Thomas Aquinas, Kennedy, Daniel Joseph, 1862-1930",1467,227,277,arm,philosophy,openlibrary_api
Orthodoxy,Gilbert Keith Chesterton,1874,156,551,spa,philosophy,openlibrary_api
The Prince,Niccolò Machiavelli,1515,156,1407,tam,philosophy,openlibrary_api
Siddhartha,Hermann Hesse,1922,140,206,guj,philosophy,openlibrary_api
The master key system in twenty-four parts with questionnaire and glossary,"Charles F. Haanel, Ruth L. Miller",1919,202,135,spa,philosophy,openlibrary_api
Mutual Aid,Peter Kropotkin,1891,294,151,chi,philosophy,openlibrary_api
Das Schloß,Franz Kafka,1926,386,166,dut,philosophy,openlibrary_api
Der Zauberberg,Thomas Mann,1924,729,188,spa,philosophy,openlibrary_api
As a man thinketh,James Allen,1902,44,657,mal,philosophy,openlibrary_api
Poetics,Aristotle,1536,129,252,gre,philosophy,openlibrary_api
Les confessions,Jean-Jacques Rousseau,1782,606,244,spa,philosophy,openlibrary_api
Walden,Henry David Thoreau,1854,268,1139,jpn,philosophy,openlibrary_api
The Art of War,"孙武, Stephen F. Kaufman",1900,90,1542,chi,philosophy,openlibrary_api
The Picture of Dorian Gray,Oscar Wilde,1890,246,3012,arm,philosophy,openlibrary_api
The golden bough,"James George Frazer, Theodor Herzl Gaster",1890,658,371,ita,philosophy,openlibrary_api
Essais,"Montaigne, Michel de",1600,363,294,gre,philosophy,openlibrary_api
Utopia,Thomas More,1518,176,198,hun,philosophy,openlibrary_api
πολιτεία,Πλάτων,1554,397,794,mac,philosophy,openlibrary_api
The Prophet,"Kahlil Gibran, R. Black",1900,112,569,guj,philosophy,openlibrary_api
Candide,Voltaire,1746,152,1079,bal,philosophy,openlibrary_api
A Vindication of Rights of Woman,Mary Wollstonecraft,1792,256,309,eng,philosophy,openlibrary_api
The Wealth of Nations,Adam Smith,1776,581,123,ger,philosophy,openlibrary_api
Philosophiae naturalis principia mathematica,Sir Isaac Newton,1687,510,104,lat,philosophy,openlibrary_api
An autobiography,Mohandas Karamchand Gandhi,1927,420,140,spa,philosophy,openlibrary_api
Vom Kriege,Carl von Clausewitz,1835,461,194,und,philosophy,openlibrary_api
History,Herodotus,1494,561,282,gre,philosophy,openlibrary_api
On Liberty,John Stuart Mill,1859,176,465,jpn,philosophy,openlibrary_api
Gitanjali (song offerings),"Rabindranath Tagore, Marie Luise Gothein",1910,94,217,guj,philosophy,openlibrary_api
À rebours,Joris-Karl Huysmans,1884,188,336,und,philosophy,openlibrary_api
How to Win Friends and Influence People,Dale Carnegie,1936,276,178,jpn,philosophy,openlibrary_api
Записки изъ подполья,Фёдор Михайлович Достоевский,1864,132,837,chi,philosophy,openlibrary_api
Отцы и дети,Ivan Sergeevich Turgenev,1867,247,208,chi,philosophy,openlibrary_api
Through the Looking-Glass,Lewis Carroll,1865,134,1378,gre,philosophy,openlibrary_api
Alice's Adventures in Wonderland / Through the Looking Glass,Lewis Carroll,1889,277,544,chi,philosophy,openlibrary_api
Confessions,Augustine of Hippo,1482,351,449,und,philosophy,openlibrary_api
Common Sense,"Thomas Paine, Thomas Paine",1776,61,171,chi,philosophy,openlibrary_api
... Trotzdem Ja zum Leben sagen,Viktor E. Frankl,1946,165,111,ita,philosophy,openlibrary_api
A Brief History of Time,Stephen Hawking,1988,242,119,ita,philosophy,openlibrary_api
Manifest der Kommunistischen Partei,"Karl Marx, Friedrich Engels",1848,89,459,gre,philosophy,openlibrary_api
Rights of Man,Thomas Paine,1791,178,279,chi,philosophy,openlibrary_api
कामसूत्र,Vatsyāyana,1883,189,381,hun,philosophy,openlibrary_api
L’étranger,Albert Camus,1942,143,468,chi,philosophy,openlibrary_api
Alice's Adventures in Wonderland,Lewis Carroll,1865,133,3546,fry,philosophy,openlibrary_api
A Room of One's Own,Virginia Woolf,1929,143,303,dut,philosophy,openlibrary_api
Le petit prince,Antoine de Saint-Exupéry,1943,96,688,chi,philosophy,openlibrary_api
Leaves of Grass,Walt Whitman,1855,384,755,dut,philosophy,openlibrary_api
Life on the Mississippi,Mark Twain,1883,452,157,eng,philosophy,openlibrary_api
R.U.R. and The insect play,"Karel Čapek, Josef Čapek",1920,108,147,rus,technology,openlibrary_api
NASA/DoD aerospace knowledge diffusion research project,Thomas E. Pinelli,1990,26,101,eng,technology,openlibrary_api
When the Sleeper Awakes,H. G. Wells,1899,278,197,eng,technology,openlibrary_api
The Art of War,"孙武, Stephen F. Kaufman",1900,90,1542,ita,technology,openlibrary_api
Het Achterhuis,Anne Frank,1944,285,293,rus,technology,openlibrary_api
Tax administration,United States. General Accounting Office,1986,31,151,eng,technology,openlibrary_api
Frankenstein or The Modern Prometheus,Mary Shelley,1818,240,2185,chi,technology,openlibrary_api
Management information systems,"Kenneth C. Laudon, Jane P. Laudon",1945,656,95,ind,technology,openlibrary_api
Jurassic Park,Michael Crichton,1990,455,93,eng,technology,openlibrary_api
Leonardo,"Leonardo da Vinci, Kunster",1946,140,89,fre,technology,openlibrary_api
Digital Fortress,Dan Brown,1998,447,86,cmn,technology,openlibrary_api
Sapiens,Yuval Noah Harari,2011,456,86,rum,technology,openlibrary_api
The Lost World,Michael Crichton,1995,419,78,jpn,technology,openlibrary_api
"Advances in Computers, Volume 49 (Advances in Computers)","Marvin V. Zelkowitz, Marshall C. Yovits",1995,345,69,eng,technology,openlibrary_api
Prey,Michael Crichton,2002,464,65,fre,technology,openlibrary_api
Timeline,Michael Crichton,1999,512,64,spa,technology,openlibrary_api
